Project Name,Category,Tech Stack,Domain,Status,Key Metric / Impact,GitHub Repo,Year,Featured,Summary
AI K3 Electrical Room Monitoring & Safety Alert,AI & Computer Vision,"Python, FastAPI, YOLO11, SFace, ByteTrack, SQLite, Baileys WhatsApp",Industrial AI & Safety,Production Ready,"Ensemble PPE detection, 128-D face biometrics, fall detection (38° spine), 32 automated unit tests",https://github.com/Pandujatip/ai-electrical-room-monitor,2026,Yes,"Smart CCTV video analytics system for electrical rooms with PPE compliance, smoking/fall alerts, and instant WhatsApp notifications with snapshots."
PLIRM34 Web Application - Maintenance & Reliability Platform,Industrial IoT & Web ERP,"Python, Vanilla JS, SQLite, Spec-Driven Development, RBAC",Industrial Operations & Maintenance,Live Operational,"Digitalized inspection for Raw Mill 3-4, dynamic Carbon Brush wear trending, threshold alarms for MV transformers",https://github.com/Pandujatip/PLIRM34-WEB-APLIKASI,2026,Yes,"Operational web platform for Raw Mill 3-4 electrical & instrumentation maintenance, spare-part management, and automated audit logging."
SIGXPORT Reborn - Port Logistics & Cement Dispatch System,Logistics & Mobile App,"Node.js, Express, PostgreSQL, Kotlin Jetpack Compose, PWA, PM2",Industrial Logistics & Transportation,Production Deployment,"Real-time queue monitoring per loading point, ship telemetry, automated cron sync with legacy DB, Play Store AAB pipeline",https://github.com/Pandujatip/sigxport-web-reborn,2026,Yes,"Parallel dashboard, PWA, and native Android app for cement export dispatching, loading point queues, and third-party integration API."
Berdikari Care / Saling Bantu Marketplace,Full-Stack Web SaaS,"React 18, TypeScript, Vite, Node.js, Express, Prisma, SQLite, PostgreSQL, DOKU Gateway",Hyperlocal Services Marketplace,Live MVP,"3-role platform (Consumer/Partner/Admin), automated escrow ledger, in-app masked chat, partner verification with PDF/images",https://github.com/Pandujatip/saling-bantu,2026,Yes,"Hyperlocal service marketplace MVP for Tuban regency covering home repairs, cleaning, laundry, vehicle maintenance with escrow payment flow."
Robot Financial Freedom - Algorithmic Crypto Trading System,Quantitative Finance & Trading,"Python, CCXT, Binance API, Web Dashboard, PowerShell Automation",Algorithmic Trading & Commercial SaaS,Production Commercial,"Auto-scanning 40+ USDT pairs, EMA/RSI momentum filter, dual engine (paper & live), commercial license key system",https://github.com/Pandujatip/publik-robot-financial-freedom,2026,Yes,"Automated crypto trading bot with real-time web telemetry, risk management (SL/TP/trailing), and proprietary licensed customer distribution."
AI Omnichannel CRM for Indonesian SMEs,AI SaaS & Customer Support,"Next.js, React, TypeScript, Supabase, PostgreSQL RLS, AI Guardrails, Midtrans",AI Customer Relationship Management,Active Prototype,"Unified WhatsApp + Instagram inbox, LLM auto-reply with strict business guardrails, multi-tenant workspace with RLS",https://github.com/Pandujatip,2026,No,"AI-powered omnichannel CRM unifying WhatsApp and Instagram messages with automated smart responses, product catalogue, and billing."
EP 343EP1 Pilot - Industrial Emission Analytics,Environmental Data Science,"Python, DuckDB, Pandas, Scikit-learn, SQLAlchemy, OpenPyXL",Industrial Environmental Compliance,Pilot Verified,Real-time Electrostatic Precipitator emission tracking at Raw Mill Tuban 3 aligned with BNSP PPPU certification standards,https://github.com/Pandujatip,2026,No,Data science and analytics pipeline for industrial emission monitoring and compliance of electrostatic precipitator systems.
Independent CVAT & Annotation QA Pipeline,AI Data Quality & QA,"CVAT (Docker), YOLOv7 ONNX, Nuclio Serverless, Precision/Recall/F1, IoU >= 0.50",Computer Vision Data Engineering,Production Completed,"End-to-end dataset curation, structured error taxonomy (missing, duplicate, loose, truncated), IoU >= 0.50 automated evaluation",https://github.com/Pandujatip,2026,Yes,Self-hosted CVAT computer vision annotation and QA pipeline with Nuclio serverless auto-labeling and rigorous error categorization.
GPS Truck SIG Mobile APK,Mobile Development,"Android Java, WebView, Gradle Portable Toolchain, ProGuard",Fleet Logistics & Telemetry,Production Live,"Hardware sensor bindings (GPS, camera), ProGuard-optimized build, portable zero-dependency Windows build script",https://github.com/Pandujatip,2026,No,Native Android tracking wrapper application with hardware permission bindings for cement logistics fleet drivers.
OpenClaw Infrastructure & AI Agent Bootstrap,AI Agents & Automation,"PowerShell, OpenAI Codex, ClawHub Skills, Browser Automation",AI Agent Orchestration,Production Tooling,Automated zero-token-leak provisioning for autonomous web agents with isolated browser profiles and host control,https://github.com/Pandujatip/openclaw-bootstrap,2026,No,Reproducible infrastructure setup for deploying autonomous AI agents with headless/non-headless browser automation and skill orchestration.
